UMIs	ah5_path	bai_path	bam_path	celltype	designs	library_type	sample	sequencing_type	sorting
FALSE	kallisto_sample_MR_54_10_S141381/abundance.h5	star_sample_MR_54_10_S141381/star_sample_MR_54_10_S141381.bai	star_sample_MR_54_10_S141381/star_sample_MR_54_10_S141381.bam	Eos	global	first	MR_54_10_S141381	SE	BSF_1518_HM7FMDRX3_1_MR_54_10
FALSE	kallisto_sample_MR_54_11_S141384/abundance.h5	star_sample_MR_54_11_S141384/star_sample_MR_54_11_S141384.bai	star_sample_MR_54_11_S141384/star_sample_MR_54_11_S141384.bam	Eos	global	first	MR_54_11_S141384	SE	BSF_1518_HM7FMDRX3_1_MR_54_11
FALSE	kallisto_sample_MR_54_12_S141383/abundance.h5	star_sample_MR_54_12_S141383/star_sample_MR_54_12_S141383.bai	star_sample_MR_54_12_S141383/star_sample_MR_54_12_S141383.bam	Eos	global	first	MR_54_12_S141383	SE	BSF_1518_HM7FMDRX3_1_MR_54_12
FALSE	kallisto_sample_MR_54_13_S141386/abundance.h5	star_sample_MR_54_13_S141386/star_sample_MR_54_13_S141386.bai	star_sample_MR_54_13_S141386/star_sample_MR_54_13_S141386.bam	Neu	global	first	MR_54_13_S141386	SE	BSF_1518_HM7FMDRX3_1_MR_54_13
FALSE	kallisto_sample_MR_54_14_S141385/abundance.h5	star_sample_MR_54_14_S141385/star_sample_MR_54_14_S141385.bai	star_sample_MR_54_14_S141385/star_sample_MR_54_14_S141385.bam	Neu	global	first	MR_54_14_S141385	SE	BSF_1518_HM7FMDRX3_1_MR_54_14
FALSE	kallisto_sample_MR_54_15_S141388/abundance.h5	star_sample_MR_54_15_S141388/star_sample_MR_54_15_S141388.bai	star_sample_MR_54_15_S141388/star_sample_MR_54_15_S141388.bam	Neu	global	first	MR_54_15_S141388	SE	BSF_1518_HM7FMDRX3_1_MR_54_15
FALSE	kallisto_sample_MR_54_16_S141387/abundance.h5	star_sample_MR_54_16_S141387/star_sample_MR_54_16_S141387.bai	star_sample_MR_54_16_S141387/star_sample_MR_54_16_S141387.bam	Neu	global	first	MR_54_16_S141387	SE	BSF_1518_HM7FMDRX3_1_MR_54_16
FALSE	kallisto_sample_MR_54_17_S141390/abundance.h5	star_sample_MR_54_17_S141390/star_sample_MR_54_17_S141390.bai	star_sample_MR_54_17_S141390/star_sample_MR_54_17_S141390.bam	Neu	global	first	MR_54_17_S141390	SE	BSF_1518_HM7FMDRX3_1_MR_54_17
FALSE	kallisto_sample_MR_54_18_S141389/abundance.h5	star_sample_MR_54_18_S141389/star_sample_MR_54_18_S141389.bai	star_sample_MR_54_18_S141389/star_sample_MR_54_18_S141389.bam	Neu	global	first	MR_54_18_S141389	SE	BSF_1518_HM7FMDRX3_1_MR_54_18
FALSE	kallisto_sample_MR_54_19_S141392/abundance.h5	star_sample_MR_54_19_S141392/star_sample_MR_54_19_S141392.bai	star_sample_MR_54_19_S141392/star_sample_MR_54_19_S141392.bam	Neu	global	first	MR_54_19_S141392	SE	BSF_1518_HM7FMDRX3_1_MR_54_19
FALSE	kallisto_sample_MR_54_1_S141374/abundance.h5	star_sample_MR_54_1_S141374/star_sample_MR_54_1_S141374.bai	star_sample_MR_54_1_S141374/star_sample_MR_54_1_S141374.bam	Eos	global	first	MR_54_1_S141374	SE	BSF_1518_HM7FMDRX3_1_MR_54_01
FALSE	kallisto_sample_MR_54_20_S141391/abundance.h5	star_sample_MR_54_20_S141391/star_sample_MR_54_20_S141391.bai	star_sample_MR_54_20_S141391/star_sample_MR_54_20_S141391.bam	Neu	global	first	MR_54_20_S141391	SE	BSF_1518_HM7FMDRX3_1_MR_54_20
FALSE	kallisto_sample_MR_54_21_S141394/abundance.h5	star_sample_MR_54_21_S141394/star_sample_MR_54_21_S141394.bai	star_sample_MR_54_21_S141394/star_sample_MR_54_21_S141394.bam	Neu	global	first	MR_54_21_S141394	SE	BSF_1518_HM7FMDRX3_1_MR_54_21
FALSE	kallisto_sample_MR_54_22_S141393/abundance.h5	star_sample_MR_54_22_S141393/star_sample_MR_54_22_S141393.bai	star_sample_MR_54_22_S141393/star_sample_MR_54_22_S141393.bam	Neu	global	first	MR_54_22_S141393	SE	BSF_1518_HM7FMDRX3_1_MR_54_22
FALSE	kallisto_sample_MR_54_23_S141396/abundance.h5	star_sample_MR_54_23_S141396/star_sample_MR_54_23_S141396.bai	star_sample_MR_54_23_S141396/star_sample_MR_54_23_S141396.bam	Neu	global	first	MR_54_23_S141396	SE	BSF_1518_HM7FMDRX3_1_MR_54_23
FALSE	kallisto_sample_MR_54_24_S141395/abundance.h5	star_sample_MR_54_24_S141395/star_sample_MR_54_24_S141395.bai	star_sample_MR_54_24_S141395/star_sample_MR_54_24_S141395.bam	Neu	global	first	MR_54_24_S141395	SE	BSF_1518_HM7FMDRX3_1_MR_54_24
FALSE	kallisto_sample_MR_54_25_S141398/abundance.h5	star_sample_MR_54_25_S141398/star_sample_MR_54_25_S141398.bai	star_sample_MR_54_25_S141398/star_sample_MR_54_25_S141398.bam	NeuP	global	first	MR_54_25_S141398	SE	BSF_1518_HM7FMDRX3_1_MR_54_25
FALSE	kallisto_sample_MR_54_26_S141397/abundance.h5	star_sample_MR_54_26_S141397/star_sample_MR_54_26_S141397.bai	star_sample_MR_54_26_S141397/star_sample_MR_54_26_S141397.bam	NeuP	global	first	MR_54_26_S141397	SE	BSF_1518_HM7FMDRX3_1_MR_54_26
FALSE	kallisto_sample_MR_54_27_S141400/abundance.h5	star_sample_MR_54_27_S141400/star_sample_MR_54_27_S141400.bai	star_sample_MR_54_27_S141400/star_sample_MR_54_27_S141400.bam	NeuP	global	first	MR_54_27_S141400	SE	BSF_1518_HM7FMDRX3_1_MR_54_27
FALSE	kallisto_sample_MR_54_28_S141399/abundance.h5	star_sample_MR_54_28_S141399/star_sample_MR_54_28_S141399.bai	star_sample_MR_54_28_S141399/star_sample_MR_54_28_S141399.bam	NeuP	global	first	MR_54_28_S141399	SE	BSF_1518_HM7FMDRX3_1_MR_54_28
FALSE	kallisto_sample_MR_54_29_S141402/abundance.h5	star_sample_MR_54_29_S141402/star_sample_MR_54_29_S141402.bai	star_sample_MR_54_29_S141402/star_sample_MR_54_29_S141402.bam	NeuP	global	first	MR_54_29_S141402	SE	BSF_1518_HM7FMDRX3_1_MR_54_29
